,CH1,CH2,CH3,CH4
0,-268,-10,-11,392
1,257,139,-139,-128
2,-141,504,-259,256
3,115,-371,157,-103
4,240,-92,382,-132
5,-380,0,243,67
6,-112,-124,-265,639
7,126,132,-510,259
8,394,245,-268,380
9,260,116,-136,-119
10,-264,359,-138,259
11,-120,-263,267,637
12,29,38,-12,350
13,92,254,-129,-129
14,-382,375,-128,285
15,135,23,20,391
16,-190,-128,96,259
17,-515,144,-376,390
18,-344,369,130,257
19,-126,-1,-153,509
20,-128,144,5,381
21,-287,10,-176,382
22,-454,-266,-378,-147
23,119,-254,-98,-259
24,-384,-237,-1,39
25,139,251,-168,389
26,-332,514,-380,509
27,-631,395,5,387
28,-374,254,-259,378
29,-236,258,35,124
30,411,123,140,-132
31,92,-2,365,-122
32,-139,125,-2,-117
33,-128,-113,112,257
34,-138,9,-256,-144
35,-257,138,160,-151
36,-252,-144,386,393
37,-256,-133,243,383
38,-399,0,-1,516
39,-651,-6,149,390
40,-739,259,392,129
41,-4,12,362,383
42,-129,-1,123,137
43,128,-125,243,123
44,-398,-125,-255,7
45,-653,-485,143,-243
46,-384,-270,4,-149
47,-73,386,141,342
48,261,10,143,630
49,-219,216,-122,735
50,-257,155,-276,-84
51,-378,98,-14,-367
52,-261,255,36,-398
53,-255,142,-256,387
54,-251,225,74,653
55,-291,360,260,340
56,92,387,30,-114
57,276,262,-337,-251
58,1,255,-559,-135
59,13,140,-8,465
60,-144,5,-17,773
61,374,257,374,547
62,-128,-11,51,-259
63,-400,-1,0,-274
64,-258,-3,380,22
65,-371,1,128,514
66,-510,163,-121,109
67,-389,251,-250,-7
68,-378,-161,110,-7
69,17,10,-20,-254
70,391,145,-512,36
71,154,246,-123,519
72,2,-28,127,506
73,132,8,-3,391
74,114,115,-5,-10
75,-136,11,-15,-129
76,134,277,-259,-121
77,-118,264,9,237
78,-123,362,-137,511
79,0,133,-257,248
80,-23,390,-126,-31
81,-397,114,-9,-133
82,-506,143,-128,102
83,-384,110,138,-522
84,-376,-121,-5,-362
85,-128,128,-267,-377
86,-259,-13,-263,-78
87,-135,128,136,395
