,CH1,CH2,CH3,CH4
0,-787,-3200,-170,128
1,-639,-3341,-136,279
2,-511,-3584,-3,380
3,-512,-3436,-126,114
4,-513,-3457,-125,0
5,-512,-3701,-127,24
6,-522,-3086,-253,379
7,-640,-3383,-240,370
8,-496,-3836,-638,152
9,-378,-3582,-52,1
10,-507,-3311,393,244
11,-249,-3457,15,253
12,-805,-3070,8,248
13,-652,-3457,-471,377
14,-513,-3247,-300,513
15,-518,-3204,2,163
16,-251,-3549,-127,-532
17,-381,-3604,-113,199
18,-257,-3115,-484,197
19,-124,-3181,-825,-17
20,-348,-3473,-290,354
21,-533,-3416,-459,272
22,-382,-4082,-535,246
23,-620,-3593,-274,254
24,-532,-3458,-137,358
25,-372,-3211,-2,397
26,-505,-3065,-123,37
27,-428,-3206,-138,104
28,-255,-3328,3,479
29,-763,-3458,-247,512
30,-391,-3587,-253,263
31,-598,-3457,-250,256
32,-644,-3585,-249,242
33,-519,-3456,123,512
34,-519,-3577,110,254
35,-645,-3557,-2,510
36,-385,-3201,119,259
37,-518,-3741,-389,625
38,8,-3582,-250,772
39,-382,-3440,-256,373
40,-652,-3077,-104,256
41,-770,-3397,4,257
42,-373,-3840,-271,393
43,-256,-3411,-256,115
44,-257,-3200,-246,245
45,-257,-3485,4,511
46,-82,-3589,-146,262
47,257,-3451,-92,250
48,-51,-3192,386,114
49,-393,-3076,-137,383
50,-370,-3332,-230,130
51,-252,-3759,4,396
52,-290,-3976,2,383
53,-507,-3569,-18,248
54,-234,-3705,-272,249
55,-401,-3689,-256,626
56,-501,-3331,-252,126
57,-392,-3195,-126,519
58,-651,-3182,-170,260
59,-501,-3451,-510,380
60,-525,-3075,-416,-5
61,-505,-3331,-902,10
62,-403,-3323,-594,242
63,-786,-3864,-377,383
64,-757,-3895,45,261
65,-768,-3312,127,257
66,-619,-3076,-133,370
67,-246,-3081,-134,503
68,260,-3324,-250,-2
69,-125,-3458,0,130
70,-114,-3457,-272,-3
71,-274,-3462,-402,387
72,-771,-3468,-922,258
73,-264,-3191,-786,131
74,-133,-3309,-372,111
75,-248,-3573,-256,380
76,-384,-4100,-254,274
77,-371,-3596,-376,134
78,-640,-3402,-644,103
79,-775,-3713,-306,384
80,-650,-3379,126,46
81,-399,-3313,-293,1
82,-259,-3344,-527,-82
83,22,-3214,-35,511
84,-378,-3144,-1,-8
85,-249,-3535,138,611
86,-608,-3660,-125,194
87,-475,-3839,100,360
88,-21,-3605,142,222
89,15,-3455,18,-134
90,-1,-3320,-125,487
91,274,-3728,-235,382
92,-240,-3727,-501,643
93,-225,-3306,-434,254
94,-768,-3071,0,376
95,-149,-3616,-107,249
96,-509,-3840,-384,255
97,-27,-3678,-635,258
98,-10,-3322,-634,276
99,-362,-3241,-402,-1
100,-513,-3726,-259,254
101,-377,-3689,-384,255
102,-98,-3433,-127,388
103,14,-3183,-130,372
104,-116,-3204,-121,131
105,401,-3338,23,129
106,509,-3341,-649,129
107,461,-3122,-147,134
108,1686,-2226,-125,259
109,3851,-769,132,130
110,6782,1835,-14,255
111,9229,4181,-129,-19
112,10197,5433,-241,125
