,CH1,CH2,CH3,CH4
0,127,-8194,-505,385
1,15,-7753,-526,390
2,-655,-7681,-269,141
3,-400,-7663,-380,-13
4,-129,-7933,-400,337
5,-124,-7708,-266,860
6,-232,-7793,-31,794
7,-324,-7959,13,509
8,232,-7701,-218,538
9,173,-7669,-481,-54
10,-228,-7806,-762,65
11,-698,-7837,-656,686
12,-896,-7553,-515,915
13,-604,-7787,-512,347
14,126,-7807,-518,-98
15,264,-7939,-273,-506
16,137,-8192,3,-128
17,-336,-7951,-400,381
18,-511,-7815,-636,134
19,-741,-7931,-501,0
20,-875,-7551,-255,0
21,-10,-7804,-675,-3
22,-409,-7669,-772,122
23,-397,-7680,-515,351
24,263,-7693,-902,518
25,-126,-7806,-753,130
26,-265,-7561,-269,262
27,-387,-7936,-122,24
28,1,-7664,-123,-255
29,-257,-7808,-394,471
30,25,-7682,-388,501
31,-2,-7809,-658,391
32,146,-7392,-765,125
33,-17,-7639,-640,259
34,-550,-8063,-782,-22
35,-640,-7806,-903,-128
36,-612,-7936,-894,-259
37,-244,-7548,-595,-503
38,37,-7292,-388,-367
39,105,-7419,-494,130
40,-262,-7706,-265,248
41,5,-7939,-679,1
42,22,-7658,-769,149
43,383,-7679,-574,257
44,-61,-7677,131,390
45,-243,-7674,8,287
46,-164,-7815,103,-278
47,-646,-7695,-560,-255
48,-357,-7424,-525,-249
49,-239,-7795,-883,-6
50,6,-8061,-382,-137
51,-387,-7731,-659,-29
52,-623,-7420,-383,378
53,-120,-7533,-246,-356
54,-32,-7821,-131,-374
55,-508,-7811,-399,3
56,-486,-7682,-641,388
57,-120,-7810,-624,261
58,-3,-7683,-376,128
59,-126,-7825,-236,256
60,-265,-7417,4,252
61,-503,-7687,-404,501
62,-509,-7301,-515,273
63,-275,-7528,-392,-245
64,-256,-7428,-639,-18
65,-418,-7487,-358,120
66,-14,-7927,-125,253
67,27,-7861,-255,253
68,-129,-7562,-248,262
69,24,-7646,-493,37
70,-376,-7699,-784,-6
71,-259,-7417,-388,215
72,-591,-7656,-141,382
73,-885,-7553,-121,373
74,-797,-7676,-379,284
75,-409,-7656,-455,-368
76,-385,-8064,-1138,112
77,-277,-7558,-656,501
78,-15,-7804,-513,647
79,133,-7289,-388,537
80,0,-7954,-405,-1
81,-77,-7684,-128,229
82,-510,-7684,-357,384
83,-380,-7682,-640,388
84,-641,-7834,-764,388
85,-284,-7803,-758,413
86,-266,-7577,-395,-144
87,-384,-7934,-520,-256
88,-219,-7520,-640,-251
89,124,-7714,-509,146
90,-8,-7765,-257,781
91,2,-7288,-516,400
92,-3,-7458,-399,-275
93,-5,-7559,-115,-521
94,139,-7700,-114,26
95,139,-7670,-385,255
96,-127,-7741,-260,256
97,-1,-8189,-521,388
98,-397,-7775,-252,501
99,17,-7804,-140,381
100,268,-7693,-515,489
101,385,-7935,-902,-146
102,109,-7642,-766,-229
103,-129,-7683,-622,7
104,-129,-7808,-132,11
105,-371,-7549,-411,261
106,-348,-7301,-768,388
107,873,-7689,-500,234
108,2784,-7746,-386,-133
109,5995,-6886,-405,281
110,8335,-5896,-496,485
111,9857,-4265,-125,251
112,11009,-2726,-523,641
113,12035,-1478,-209,86
114,12126,-1164,-2,13
115,11386,-1154,-140,264
116,11228,-1154,-129,367
117,10739,-1022,-291,122
118,11653,-592,-763,373
119,11129,-386,-242,0
120,11011,-652,-643,393
121,11265,-769,-341,116
122,11008,-1031,-246,258
123,10885,-1032,-665,131
124,10751,-1427,-769,239
125,10798,-1410,-636,-255
126,9992,-1414,-504,5
127,9856,-1534,-899,-145
128,10091,-1543,-407,126
129,10617,-1776,-256,-138
130,10501,-1918,-357,509
131,10610,-2273,-908,274
132,10511,-2205,-923,545
133,10360,-1581,-514,883
134,10596,-1653,-388,1536
135,10873,-1798,-373,2506
136,10872,-1683,-761,3120
137,11122,-1426,-411,4055
138,11106,-1491,-134,4863
139,11755,-1677,-234,4241
140,12374,-1343,-624,4236
141,13342,-600,-521,3488
142,14802,199,-417,3968
143,16626,1098,-131,4470
144,17353,1920,-356,4344
145,18492,2275,-516,3865
146,18938,2553,-401,3200
147,19060,2556,-261,3322
148,19328,2928,-25,3185
149,19458,3309,504,3197
150,19968,3580,405,3465
151,20813,4078,260,3314
152,21391,4354,512,2519
153,21504,4730,254,2687
154,21500,4860,387,2961
155,21252,4731,261,3210
156,21247,4994,644,3326
157,21245,5106,-43,3202
158,21381,5379,-20,3067
159,21255,5142,801,2942
160,21006,4859,510,2983
161,21376,4612,397,3458
162,20957,4604,641,3452
163,20735,4482,496,3453
164,20862,4632,383,3169
165,20609,4990,515,3088
166,20616,4856,512,3317
167,20882,4735,508,2806
168,21237,4337,383,2540
169,20724,4222,382,2291
170,20775,4219,382,2326
171,20861,4100,500,2428
172,20632,4264,127,1985
173,20847,4480,550,1403
174,20196,3954,644,1612
175,20220,3845,397,2052
176,19113,3987,644,1743
