,CH1,CH2,CH3,CH4
0,-113,-380,387,80
1,5,-259,612,271
2,137,9,128,765
3,89,9,529,271
4,-253,-133,399,394
5,19,-13,763,254
6,-137,122,385,259
7,-276,-376,626,373
8,-674,-242,124,508
9,-879,-128,240,264
10,-640,-128,1,120
11,-766,-238,653,-131
12,-509,-369,384,132
13,-360,124,776,129
14,-251,-18,510,378
15,-785,-378,383,-2
16,-368,-360,387,513
17,-269,4,528,130
18,-386,-259,760,370
19,-127,205,758,413
20,-266,385,389,127
21,130,170,265,367
22,-233,-126,512,270
23,-128,62,232,228
24,-140,265,114,509
25,117,-220,380,301
26,169,-47,418,248
27,-255,238,139,293
28,-119,264,6,121
29,-500,56,124,512
30,-535,-208,726,47
31,-504,-429,652,-162
32,-455,-143,503,108
33,-11,12,537,462
34,-232,-258,68,640
35,-129,-378,-133,515
36,26,-369,326,647
37,-381,124,646,425
38,-29,-136,374,-255
39,0,-2,640,353
40,29,-139,375,246
41,-256,-258,896,258
42,-115,-220,775,128
43,-650,129,635,361
44,-420,-25,394,370
45,-264,4,245,0
46,-381,-9,256,267
47,-100,17,894,261
48,-111,265,251,498
49,-255,122,653,-121
50,-129,146,773,5
51,-256,416,779,-2
52,-232,441,906,275
53,-644,-139,353,514
54,-147,-177,125,385
55,-145,-634,285,376
56,-642,-84,511,-147
57,-589,-421,91,250
58,13,-610,128,372
59,-158,-114,252,118
60,-511,-104,127,32
61,-365,256,120,386
62,-128,122,-128,108
63,-392,125,4,395
64,-382,-259,-1,620
65,-372,131,270,242
66,-1,161,509,103
67,-397,376,512,-119
68,-522,-139,507,435
69,-242,125,178,514
70,-254,-304,21,367
71,-384,-253,529,250
72,-256,-236,116,263
73,-390,130,33,385
74,-385,-38,633,233
75,-530,-128,620,-3
76,-526,175,382,277
77,3,379,528,256
78,-132,-7,508,154
79,-253,259,241,495
80,10,98,368,-1
81,-512,-128,624,521
82,-139,161,131,244
83,-7,268,256,384
84,-362,-255,6,256
85,-510,370,150,497
86,-639,378,630,369
87,-265,391,640,130
88,-375,130,662,377
89,-625,-110,253,764
90,-896,-139,502,466
91,-554,131,384,3
92,-7,-118,505,128
93,-341,-132,515,246
94,-657,-245,501,396
95,-297,-274,639,388
96,121,-142,620,256
97,-79,-125,788,372
98,-289,-125,159,515
99,-14,-140,483,287
100,-106,-1,763,128
101,-256,-124,767,123
102,-168,-127,553,262
103,126,-398,16,510
104,-201,-125,195,256
105,-639,-731,633,-126
106,-296,-407,636,152
107,384,215,648,506
108,1701,765,-108,761
109,4992,1727,130,379
110,7942,3472,0,528
111,9277,4722,134,386
112,10624,5570,255,118
113,11809,6501,256,271
114,12285,6653,376,516
115,11897,6761,513,385
116,11899,7048,510,381
117,12044,7051,649,255
118,12290,6912,510,249
119,11688,6807,257,258
120,11008,6391,514,506
121,11524,6775,510,255
122,11005,6747,512,370
123,10731,6148,521,141
124,10369,6282,879,510
125,10496,6272,745,126
126,10236,6126,384,406
127,10376,5759,377,236
128,10228,6175,-1,160
129,9983,6285,256,528
130,10111,6000,-1,505
131,9977,6016,415,664
132,10257,5885,512,1323
133,10485,6035,356,3895
134,10239,6101,3,7294
135,10408,5624,20,11394
136,10476,6152,258,14296
137,10417,5759,382,16302
138,11012,6366,252,16334
139,10931,6528,527,16123
140,12087,6415,642,15557
141,12866,7074,801,15362
142,14219,8019,1657,15345
143,15689,8806,2526,14859
144,17161,9497,4048,14039
145,17986,9856,4753,13672
146,18686,10394,5105,12886
147,19090,10497,5526,12546
148,19331,10639,6010,12305
149,20044,11111,6550,12549
150,20607,11526,6643,12000
151,20886,11396,7403,12129
152,20999,11520,7807,12286
153,20738,11527,7669,12057
154,20989,11520,8237,11772
155,20863,11523,8946,11893
156,21116,11521,8867,12021
157,20993,11740,8820,12298
158,20869,11904,8871,11918
159,20743,11782,8453,11980
160,21112,11780,8650,12291
161,21119,11636,8832,12135
162,21246,11782,8757,12527
163,21031,11488,8453,12401
164,20922,12000,8582,12774
165,21258,11808,8339,12520
166,20550,11772,8431,12062
167,20462,11927,8559,11519
168,20764,11413,8947,10686
169,21348,11126,8956,9990
170,21230,11404,9209,8910
171,20479,11646,9096,8013
172,20869,11522,8968,7424
173,20238,11782,8555,7037
174,20351,11099,8193,7046
175,19860,10754,8456,6446
176,19353,11142,8450,5888
177,18928,11023,8308,5418
178,18811,10622,8191,4641
179,19208,10881,8185,3854
180,19198,10878,7936,3969
181,19468,11009,8198,3597
182,19583,11147,8192,2932
183,19725,11381,8177,3055
184,20094,11510,7937,3200
185,20358,11121,8076,2719
186,20348,10917,8061,2561
187,20210,11646,8066,2562
188,20234,11357,8197,2560
189,20541,11611,8175,2562
190,21003,12178,7784,2412
191,21132,12402,7684,2176
192,21250,12050,7812,2305
193,21091,12674,8092,2305
194,21273,12216,8190,2446
195,21924,11899,7848,2688
196,21595,12177,7115,2567
197,21394,12286,7223,2943
198,21488,12419,7550,2819
199,21276,12290,7145,3069
200,21752,12301,7166,2820
201,21060,12667,7060,3316
202,20993,12537,7580,3199
203,21017,12430,7652,3325
204,21383,11891,7416,3073
205,21376,11771,7268,3552
206,21360,12181,7038,3847
207,21122,12416,7016,3976
208,21506,12281,6784,3709
209,21789,12154,7182,3722
210,22017,12141,7173,3320
211,22011,11778,7147,3327
212,21890,12189,6785,2939
213,21459,12432,7598,3197
214,21117,11626,7255,2939
215,21260,12012,6795,2687
216,21375,11890,7284,2690
217,21380,12004,7157,2563
218,21394,12159,7043,2445
219,20859,12152,6922,1944
220,21097,12165,7295,2038
221,21120,11791,7023,2055
222,21257,12018,6938,2163
223,21119,12161,6529,2476
224,21356,12161,6789,1947
225,21127,12144,6530,1849
226,20680,12282,6876,1407
227,21488,12262,6911,1994
228,21464,12427,7070,1706
229,22111,12109,6656,1608
230,21643,12034,7129,1800
231,21138,11921,7167,1613
232,21089,11902,7494,2170
233,21503,11571,7563,1925
234,21292,10018,6948,2176
235,20871,8273,7023,1679
236,21072,7136,7189,1663
237,21504,6528,6912,1285
238,21168,5587,6913,1548
239,21239,5114,6784,1654
240,21772,4909,6785,1929
241,21244,5508,6794,1936
242,21634,5194,7162,1794
243,21093,4975,7182,1795
244,21121,4761,7680,1555
245,21169,5422,7293,2181
246,21776,5466,7428,1921
247,21244,5111,7416,2423
248,21905,5339,7046,2161
249,21730,5894,7184,2041
250,21261,5584,7299,2442
251,21406,5645,7305,2312
252,21647,5936,7557,2152
253,21115,6137,7394,2058
254,21506,5871,7168,2555
255,21653,5885,7459,1918
256,22023,5921,7552,1892
257,21868,6268,7426,295
258,21757,5819,7552,-1963
259,21739,5764,7559,-5370
260,21121,5844,7805,-8998
261,21107,5377,7664,-12492
262,20729,5835,7555,-14318
263,21410,5884,7802,-14845
264,21512,5431,7308,-14264
265,20989,5249,7316,-13689
266,21239,5188,7426,-13670
267,21099,4041,7395,-13066
268,20991,3385,7015,-12625
269,21119,2761,6473,-12271
270,21123,2149,6277,-11979
271,21506,1920,6810,-10847
272,20983,1767,6784,-10340
273,20895,1534,6776,-9995
274,21491,1237,6388,-9991
275,21500,896,6168,-10112
276,21376,1037,6526,-9953
277,21505,892,6129,-9596
278,21390,370,6510,-9880
279,21120,650,6640,-9986
280,21378,622,6400,-9974
281,21122,387,6395,-9854
282,21417,527,5888,-10106
283,20610,774,6286,-9695
284,21251,374,6265,-10384
285,21386,603,6527,-10115
286,21136,768,6049,-10369
287,20850,527,5752,-9992
288,21363,622,5598,-10262
289,21122,878,6396,-10238
290,21574,897,6538,-10368
291,21640,976,6399,-9866
292,21725,1263,6416,-9674
293,21885,1223,6151,-8368
294,21708,770,6255,-7448
295,21289,1090,6278,-6952
296,21049,1055,6257,-6290
297,20744,905,6398,-6085
298,20844,886,6287,-5248
299,20990,1247,6151,-5038
300,21102,1663,5867,-4343
301,21348,1787,6382,-4113
302,21652,1793,6180,-3456
303,21020,1672,6360,-3101
304,20834,1663,6922,-2685
305,21120,1668,6155,-2943
306,20861,1538,6027,-2404
307,21120,1406,5757,-2043
308,21388,1537,6016,-1905
309,21118,1410,5759,-1539
310,21504,1269,6244,-1424
311,21626,1031,6521,-1521
312,21379,894,6128,-986
313,21516,876,6930,-1024
314,21886,1427,6409,-894
315,21616,1442,6549,-1024
316,21256,892,6658,-1190
317,20848,904,7037,-1537
318,20992,633,6524,-1400
319,21269,893,6533,-1407
320,21504,746,6525,-1283
321,21244,514,6651,-1406
322,21376,374,6403,-1285
323,21101,256,6534,-1540
324,21123,388,6397,-1532
325,21115,382,6410,-1682
326,21123,518,6911,-1949
327,21258,626,6376,-2203
328,21115,903,6272,-2410
329,20849,768,6149,-1916
330,21003,894,6399,-1923
331,21280,773,6265,-2078
332,21247,870,6399,-2720
333,20989,385,6225,-2553
334,21266,657,6017,-2406
335,21388,512,6540,-2037
336,21369,520,6532,-2073
337,21124,770,6540,-2176
338,21230,1137,6918,-2042
339,20874,505,6893,-1928
