,CH1,CH2,CH3,CH4
0,237,19,252,216
1,-257,-7,114,380
2,5,-129,126,519
3,-127,-6,523,515
4,294,122,384,244
5,133,-128,515,252
6,-261,-129,508,130
7,-129,-257,626,383
8,-539,-255,130,357
9,-386,-371,250,129
10,-240,-800,-15,282
11,0,-696,635,515
12,-127,131,386,383
13,115,97,645,396
14,242,386,39,124
15,122,-473,121,360
16,385,-126,11,388
17,-119,57,119,266
18,-134,-523,115,252
19,-508,-669,257,374
20,-257,-280,5,282
21,-354,-92,355,-8
22,-462,-495,679,245
23,382,-470,287,139
24,-225,-10,255,248
25,-140,-132,134,225
26,-486,127,240,504
27,-291,-110,259,369
28,489,-7,36,641
29,310,2,-392,272
30,127,-3,228,505
31,137,3,256,171
32,121,386,500,128
33,599,24,509,119
34,522,-537,397,382
35,142,-761,259,255
36,-7,8,508,512
37,-9,-122,504,525
38,517,-122,510,383
39,133,-128,638,413
40,140,-136,512,6
41,257,-257,639,4
42,-276,-115,394,-252
43,-258,2,243,362
44,-128,25,126,381
45,16,116,246,261
46,230,-532,-2,262
47,-275,-130,127,383
48,-116,-161,2,391
49,-258,-495,262,516
50,-282,-505,116,239
51,-354,-116,135,245
52,261,-8,-7,255
53,-265,3,-395,233
54,-126,244,27,505
55,-389,-127,559,-2
56,-249,-10,623,135
57,-241,-384,351,126
58,-13,-266,390,416
59,-243,-517,762,510
60,272,141,249,515
61,-161,-225,307,637
62,-410,-382,494,491
63,-362,-383,-53,255
64,281,-384,287,390
65,122,-261,595,389
66,258,-125,-3,387
67,-131,-125,421,395
68,-375,-128,255,126
69,7,-15,256,254
70,263,-32,408,124
71,257,-763,753,258
72,109,-618,-3,380
73,2,-138,162,133
74,281,134,390,0
75,391,233,368,1
76,-138,505,130,-7
77,113,-85,266,361
78,123,-249,383,388
79,11,-543,240,259
80,0,-5,0,258
81,356,-340,285,139
82,383,-263,641,126
83,508,-283,388,226
84,261,101,168,271
85,-238,31,-7,-102
86,-132,0,352,106
87,-55,-181,384,434
88,377,-485,410,7
89,39,-526,128,354
90,117,-512,579,33
91,-85,-516,613,-170
92,-257,-383,-373,246
93,109,-132,240,502
94,17,-120,51,504
95,-36,20,-22,143
96,384,-514,390,0
97,-74,-129,0,101
98,-130,-383,-17,525
99,-8,2,128,524
100,266,-326,124,382
101,310,-509,254,389
102,-387,-83,11,250
103,273,-136,142,254
104,235,-113,512,377
105,260,-3,380,261
106,301,-149,126,642
107,1588,-119,259,263
108,3048,380,492,117
109,5530,1332,751,-260
110,8676,2262,140,282
111,10569,4073,259,392
112,11295,5059,129,256
113,12035,5679,397,253
114,11988,6470,385,-169
115,11781,6648,502,-134
116,12038,6540,-3,417
117,11904,6791,-98,377
118,11888,6782,649,272
119,11518,6782,487,372
120,11909,6149,132,150
121,11551,5634,132,642
122,11390,6360,258,351
123,11146,6530,238,247
124,10486,6465,-255,145
125,10615,5749,189,380
126,10609,5650,512,121
127,10495,5757,346,381
128,10623,5795,261,387
129,10496,6159,392,517
130,10777,5829,248,519
131,10743,5378,13,639
132,10089,5779,506,554
133,10709,5633,643,2229
134,11516,6025,769,4071
135,10616,5759,763,7936
136,10759,5875,769,11571
137,11143,5502,750,14791
138,10752,5778,394,15953
139,11361,5898,253,16772
140,12324,6434,381,15954
141,13482,6773,772,15613
142,14580,7060,1266,15210
143,16266,7890,1835,14620
144,17252,9134,2910,14456
145,18006,9676,3332,14222
146,18918,10619,3927,13704
147,19137,11013,4374,12852
148,19916,10889,5151,12413
149,20233,10802,6267,12421
150,20435,11618,6523,12160
151,21162,11968,6885,12161
152,21484,12508,7628,12023
153,21685,12595,7943,12032
154,21247,12295,7786,11908
155,21716,12410,8288,11780
156,21520,12298,8350,11770
157,21739,12399,8192,11912
158,21635,12419,8300,11904
159,21653,12307,8323,12417
160,21376,12158,8180,12026
161,21628,12740,8554,12155
162,21267,13055,8698,12032
163,21012,12851,8712,12149
164,20992,12413,8455,12298
165,21501,12795,8449,12413
166,20864,12545,8333,12406
167,21218,12789,8322,11880
168,21093,12799,8322,10962
169,20608,12676,7667,10495
170,21004,12406,7659,9475
171,20996,12413,8196,7871
172,20993,12414,8064,7126
173,20876,12289,8193,6660
174,20464,12422,7942,6367
175,20229,12437,7956,5887
176,19971,12163,8192,5179
177,19840,12087,8042,4606
178,18780,10982,7810,3894
179,19074,11647,8207,3189
180,19338,10970,7948,2534
181,19582,11257,7415,2432
182,19710,11527,7527,2256
183,19576,11516,7679,1522
184,19621,11406,7679,1126
185,20097,12018,7945,888
186,19839,12022,8191,900
187,20225,12024,8058,897
188,20265,12161,8063,894
189,21013,12160,8063,762
190,21291,12282,8064,644
191,21374,12039,7927,626
192,20873,12433,7687,227
193,21527,12166,7135,263
194,21527,12180,7168,544
195,21751,12668,7173,768
196,21081,13034,7547,622
197,21389,12543,7410,772
198,21238,12827,7160,999
199,21248,13057,6897,758
200,21260,13061,6531,1418
201,21634,13060,6161,1023
202,21778,12793,6776,1577
203,21890,12928,6510,1531
204,21456,13055,6395,1540
205,21376,13056,6530,1788
206,21510,13173,6526,2498
207,21504,12680,6802,2567
208,21642,12813,6797,2157
209,21640,12790,6529,2180
210,21509,13056,6646,1911
211,21763,12945,6774,1668
212,21506,12928,6921,1659
213,21884,12933,6664,1524
214,21633,12929,6651,1671
215,21509,13148,6650,1282
216,21238,13179,6870,1536
217,21247,12603,7042,1076
218,21122,12297,6713,1118
219,20628,12264,6525,1321
220,20697,12421,6659,909
221,20971,12257,6533,1033
222,20994,12752,6640,670
223,20991,12840,6655,712
224,20991,12295,6670,796
225,20996,12249,6412,489
226,21093,12662,6618,883
227,21511,12788,7159,576
228,21122,12930,7056,394
229,21125,12798,6911,226
230,20867,12802,7028,640
231,20990,12933,6890,513
232,20864,12653,6161,763
233,21103,12407,6550,647
234,21250,11887,7033,640
235,21369,10317,7011,274
236,21499,8211,6531,134
237,21247,7674,6657,-24
238,21515,6837,6662,377
239,21505,6143,7037,260
240,21239,6260,6539,124
241,21247,6014,6679,-2
242,21385,6439,6779,257
243,21628,6126,6898,644
244,21184,5316,6659,371
245,20860,5372,6912,384
246,21023,6430,6514,400
247,21256,5907,6406,768
248,21539,6153,6537,502
249,21470,6143,6671,752
250,21031,6286,6915,767
251,21768,6531,7042,777
252,21492,6929,6900,640
253,21756,6908,6638,897
254,21509,7035,6662,1009
255,21749,6664,6650,513
256,21374,6536,6656,838
257,21629,6904,6797,739
258,21205,7281,6914,-849
259,21127,6549,7216,-3125
260,21269,6662,7415,-6839
261,21514,6407,6967,-10914
262,21456,6532,6789,-13522
263,20838,6533,6901,-15229
264,21065,6401,6788,-16266
265,21376,6632,7202,-15777
266,21083,6510,7168,-15223
267,20994,5711,7321,-14868
268,21288,4527,7689,-14317
269,21507,3736,7534,-13952
270,21092,2907,7166,-13419
271,21125,2323,7165,-13062
272,21106,1752,7182,-12537
273,20866,1317,7558,-11779
274,21010,1024,7067,-11519
275,21374,1176,6651,-11641
276,21113,652,6780,-11527
277,21086,644,7059,-11399
278,21504,391,7297,-11387
279,21528,226,7028,-11412
280,21499,-619,7138,-11141
281,21644,-493,7302,-11403
282,21253,110,6801,-11793
283,20869,-74,7030,-11170
284,20986,-147,6928,-11502
285,21009,101,6913,-11531
286,20978,129,6683,-11746
287,21210,212,6767,-11945
288,21260,259,7386,-11652
289,21314,27,7244,-11887
290,22142,3,6665,-11657
291,21988,760,6786,-11405
292,20873,371,6309,-11248
293,21567,626,6494,-10902
294,21632,641,7233,-10108
295,21407,641,7424,-8551
296,21368,246,7180,-7520
297,22009,253,6912,-6738
298,21482,-7,6284,-5735
299,21325,259,6425,-5641
300,21881,422,6911,-5095
301,21236,778,6788,-4734
302,21550,921,7168,-4166
303,21520,1159,6906,-3302
304,21371,1168,6530,-2782
305,21518,1552,6914,-2320
306,21876,1638,6661,-2040
307,21266,1400,6940,-1802
308,21537,1402,7169,-1256
309,21531,1274,7032,-917
310,21000,923,7044,-345
311,21633,401,7176,4
312,21217,1049,7168,-42
313,21515,624,6851,-386
314,21646,627,6529,175
315,21889,240,7187,252
316,21479,263,7038,103
317,21122,126,7174,-137
318,21007,-161,7166,-115
319,21501,-386,7152,1
320,21241,-515,6653,-177
321,21499,-249,6802,-503
322,21501,-37,7046,-121
323,21387,-514,6787,-389
324,21113,-219,7040,-262
325,21246,-132,6749,-514
326,21507,-292,6925,-395
327,21760,-520,7046,-949
328,21352,-506,7036,-1123
329,20986,-381,7068,-778
330,20593,-88,7302,-1435
331,20961,-1,6624,-1281
332,21893,-278,6796,-1410
333,21627,-387,7306,-1280
334,21246,-514,7035,-1710
335,20997,-252,6903,-1878
336,21120,-17,6782,-1130
