,CH1,CH2,CH3,CH4
0,1151,128,9091,909
1,768,-252,8056,2038
2,1025,0,9466,1552
3,1024,-385,8207,519
4,1152,135,7940,512
5,1151,255,8841,-257
6,1142,-2,10408,651
7,771,-1,11396,896
8,1282,9,10690,-20
9,756,512,8829,-771
10,913,118,10545,672
11,1280,-125,11259,1660
12,1151,-384,9180,1533
13,1280,-139,8706,905
14,1151,134,8703,638
15,1015,-486,8789,1307
16,1533,-378,9984,-1032
17,1161,-3,8576,-683
18,767,-516,7168,1542
19,1019,-122,8439,640
20,1276,-127,9474,1290
21,1025,-2,9863,256
22,1283,15,11000,150
23,1027,377,9727,767
24,1155,-641,11288,-135
25,1534,512,10766,-9
26,1536,382,9979,-1153
27,1283,-3,9589,-135
28,1152,379,10744,-381
29,1154,517,11130,615
30,1025,128,11131,505
31,896,-512,9735,640
32,1030,-639,9212,1412
33,1278,-134,9600,772
34,893,-133,11892,263
35,1024,-384,8576,636
36,1159,6,9232,-668
37,1405,0,9085,-1030
38,631,-128,9856,766
39,635,-127,10616,-512
40,1156,-385,10877,768
41,1153,113,11124,374
42,1037,129,11142,2408
43,631,-121,10377,2456
44,1280,-383,9987,896
45,641,-128,11134,532
46,902,-135,9480,-640
47,1022,-383,12693,1395
48,895,-121,10782,512
49,1025,127,8439,-386
50,1280,2,8588,256
51,1152,385,9592,507
52,1280,-129,10491,894
53,1155,130,9360,1035
54,1149,-256,9223,869
55,1397,18,11226,2070
56,1410,-641,11264,366
57,897,4,10756,254
58,1285,-135,10624,8
59,1404,9,11008,1161
60,1018,-18,12160,1138
61,1282,-512,10767,240
62,1525,130,10646,287
63,641,-386,11904,1679
64,1161,139,10995,1380
65,1151,-128,8578,-140
66,1279,-257,10368,137
67,1036,125,10749,762
68,887,-1,12026,1662
69,1535,130,11154,396
70,1024,-128,9968,8
71,1152,254,9344,512
72,640,253,10638,3
73,1285,1,11270,767
74,1150,-127,12145,120
75,1277,-1,9622,1046
76,754,3,9509,976
77,898,255,11630,-1283
78,1407,-260,12671,156
79,899,-4,11532,5
80,1028,-2,11903,256
81,1024,383,11685,420
82,768,0,11011,-1270
83,1150,0,10887,-790
84,1278,1,9850,512
85,1152,128,11117,258
86,1282,124,13467,770
87,1278,-130,13159,637
88,1154,-126,10801,1414
89,1280,0,9734,896
90,1013,2,11436,638
91,896,128,12549,259
92,1407,-130,12659,-128
93,896,-387,11145,99
94,1280,-131,11895,1281
95,783,-128,11894,-100
96,891,0,12796,120
97,1147,-128,12431,1777
98,1281,-380,11904,1654
99,1026,128,12158,778
100,1024,-259,12419,642
101,1022,-3,12673,252
102,1280,-2,12156,3
103,1152,-128,12403,382
104,1407,-121,13056,-4
105,1286,385,11173,-252
106,1020,-253,9472,-1027
107,1523,-134,11053,495
108,1309,-378,13025,896
109,889,-512,13073,1138
110,1405,-256,11256,1024
111,1280,259,10971,-256
112,1279,-256,13705,143
113,1024,383,13470,638
114,1283,-4,12032,615
115,1281,0,12027,-1021
116,896,-1,12167,-252
117,1151,-253,12427,122
118,1024,-256,11015,510
119,1397,123,10397,-247
120,1414,-121,9837,233
121,1031,-263,11444,745
122,1024,-3,11292,1149
123,895,5,8835,681
124,1024,-386,11791,-768
125,896,0,13949,238
126,1025,510,12362,126
127,1281,-260,8967,-257
128,1274,-382,10560,381
129,894,-383,12032,491
130,1024,-383,14597,2432
131,1151,-13,13217,522
132,1152,14,11400,-157
133,1146,-785,10966,2129
134,1162,241,12190,1830
135,770,-253,9988,1426
136,1024,270,11394,-134
137,1280,-8,10496,-3
138,1281,-373,10494,525
139,1408,389,9339,1143
140,1145,-162,9615,-139
141,1024,-379,9990,1041
142,1029,129,11168,1770
143,1409,-130,12416,640
144,1281,0,11628,638
145,1155,-132,9619,-119
146,1020,255,10496,-128
147,1412,8,12629,636
148,1023,-128,12537,381
