,CH1,CH2,CH3,CH4
0,-256,-1147,5777,-641
1,196,-1150,5632,-775
2,386,-1548,5880,-633
3,20,-1404,5760,-402
4,-265,-1272,5755,-117
5,-405,-1282,5884,12
6,-134,-1432,5526,-125
7,-520,-1538,5375,2
8,-190,-1531,5376,-248
9,38,-1391,5376,265
10,-662,-1120,5634,110
11,-365,-1029,5763,1
12,-11,-1135,5887,-135
13,-392,-1051,5743,-258
14,14,-1592,5620,-124
15,-249,-1528,5885,-129
16,-119,-1549,5496,20
17,-129,-1380,5494,259
18,-396,-1039,5508,229
19,-388,-1558,6303,-127
20,-507,-1514,5886,-276
21,-381,-1406,5731,-654
22,-636,-1586,4987,-728
23,-132,-1658,5269,-239
24,-146,-979,5253,-248
25,-294,-1282,5135,139
26,394,-1388,5895,382
27,-119,-1282,6126,103
28,-123,-1584,5513,-272
29,-6,-1527,5678,-253
30,-21,-1136,5873,-97
31,-383,-1433,5488,253
32,5,-1622,5912,257
33,253,-1291,6002,84
34,1,-1818,5755,-521
35,388,-1528,5487,-117
36,221,-1123,5622,-142
37,-126,-1153,6149,-137
38,3,-1442,5751,299
39,0,-1664,5642,384
40,-131,-1530,5761,-414
41,-392,-1536,5758,-240
42,0,-1542,5760,-258
43,-248,-1666,5762,-125
44,-246,-1511,5761,-274
45,139,-1277,5631,-637
46,-253,-1541,5633,-494
47,-128,-1410,5642,98
48,-249,-1542,6123,124
49,-260,-1537,6271,127
50,-136,-1537,5923,2
51,-2,-1303,5499,-25
52,-7,-1272,5612,411
53,138,-1501,5886,394
54,-113,-1663,6021,128
55,-127,-1573,5766,11
56,-248,-1410,5759,-137
57,-175,-1512,5756,-14
58,8,-1641,5987,506
59,-216,-1709,6144,637
60,-262,-1333,5941,534
61,-153,-1130,5623,-315
62,5,-1404,6015,-256
63,-497,-1281,5760,257
64,-156,-1534,6144,-2
65,-104,-1552,5541,248
66,-264,-1410,5573,0
67,9,-1404,6117,-862
68,-384,-1410,6291,-865
69,-384,-1294,5763,-139
70,-512,-1151,5892,531
71,-147,-1284,5494,627
72,-135,-1155,5376,-39
73,-256,-1536,5504,-126
74,-393,-1125,5615,-543
75,-641,-1137,6147,-353
76,-377,-1539,5900,276
77,-379,-1426,5768,-122
78,-374,-1282,6015,-254
79,-129,-1294,6030,-387
80,-257,-1023,6142,-341
81,-128,-1387,5614,260
82,-544,-1531,5763,369
83,-638,-1531,5741,124
84,25,-1651,5505,-5
85,-127,-1282,5631,2
86,-379,-1403,5384,-6
87,-122,-1153,5367,3
88,-289,-1552,5250,126
89,-503,-1422,5894,145
90,-124,-1151,5758,546
91,-250,-1280,6020,356
92,256,-1304,5637,130
93,-403,-1664,5370,120
94,-155,-1396,5498,-447
95,256,-1301,5935,-506
96,-155,-1662,6148,-209
97,1,-1283,5722,265
98,-297,-1568,5762,74
99,-382,-1664,5619,-244
100,-233,-1513,5243,324
101,22,-1279,5924,511
102,252,-1159,6268,665
103,-131,-1411,5830,771
104,-399,-1255,5250,338
105,-254,-1150,5396,-248
106,356,-1277,5623,-492
107,1662,-1024,5891,-126
108,3340,-897,5884,-256
109,6421,-506,6151,-127
110,8742,848,6019,-535
111,10240,2508,5883,-262
112,11622,3535,5885,-270
113,12404,4919,5767,-383
114,12152,5635,5379,-251
115,11790,5793,5730,-6
116,11539,5503,6115,-138
117,12028,5867,6279,-165
118,11777,5759,5831,370
119,11777,5593,5724,410
120,11642,5888,6151,26
121,11533,5505,5646,-602
122,10884,5766,5461,-436
123,10358,5178,5754,113
124,10830,5239,5745,1
125,10825,4956,5892,241
126,10501,4605,5652,-174
127,10606,4833,5745,-918
128,10737,4993,5758,-320
129,11084,4759,5770,40
130,11147,4612,5622,744
131,10908,4575,6124,264
132,10751,4860,6292,-144
133,10621,4480,5776,427
134,10627,4733,5749,1152
135,10372,4223,5888,2369
136,10733,4893,5782,3433
137,11264,4988,5504,4091
138,11007,4861,5632,3712
139,11373,4860,5508,3192
140,12075,5033,5883,3576
141,13536,5637,6017,3567
142,15166,6377,6015,3841
143,16503,7946,6017,3339
144,17464,8375,6017,2939
145,18307,9210,6022,2820
146,18454,8807,6142,2816
147,19367,9358,6146,3178
148,19731,9478,6279,3193
149,19976,9727,6403,3078
150,20321,9760,6399,2799
151,21132,10352,6402,2569
152,20985,10240,6396,2437
153,20824,10519,6255,2678
154,20286,10873,6277,2687
155,21530,10626,6681,2813
156,21324,11028,6656,2961
157,21236,10642,6811,3327
158,21153,10374,6744,2657
159,21787,10620,6390,2303
160,21716,10468,6528,2602
161,21101,10365,6383,2949
162,20979,10622,6534,3071
163,20876,10373,6742,3178
164,21297,10648,6281,3604
165,21086,10528,6824,3449
166,20336,9720,6660,2936
167,20613,9978,6903,3080
168,20331,9985,6527,2663
169,20609,10214,6810,2075
170,20751,10096,6655,1662
171,20730,9826,6527,1790
172,20340,10513,6524,1794
173,20478,10120,6541,2049
174,19873,10108,6913,1911
175,19070,9738,6770,1672
176,19455,9754,6785,1281
177,18824,10121,6474,1531
178,18831,9711,5885,1306
179,19186,9846,6420,529
180,19326,9727,6527,759
181,19191,9825,6805,786
182,19328,10225,6800,644
183,19140,10845,6119,629
184,19935,10757,6143,648
185,20235,10842,5894,369
186,20223,11103,5952,633
