,CH1,CH2,CH3,CH4
0,-357,22650,128,-258
1,-413,23057,-249,-377
2,-125,23161,399,-124
3,-279,22906,249,-255
4,251,22777,2,-512
5,-123,22797,258,-141
6,124,23289,-251,1
7,-238,22393,-126,-508
8,-389,23060,256,-512
9,-257,22764,-1,-497
10,-374,22787,7,-4
11,-406,22938,127,-537
12,-131,23287,-14,-230
13,-257,22781,-126,-14
14,-123,22913,0,-519
15,-385,22392,-1,-638
16,-20,22793,131,-388
17,-222,23166,-256,-256
18,-271,22781,124,-256
19,-230,22914,127,-513
20,-493,22784,257,-384
21,-415,23041,0,-509
22,-245,22912,129,-120
23,-396,22922,259,-1
24,-135,22529,388,-276
25,-260,22889,-253,-646
26,-132,22906,229,483
27,-388,23276,269,175
28,31,23298,-3,-512
29,116,22653,512,384
30,-265,23298,-11,-545
31,-387,22635,128,-240
32,-380,22927,-132,-263
33,-118,23043,-1,-269
34,-138,23296,-124,-521
35,-260,23041,274,-519
36,-258,23040,236,-770
37,-245,23040,-384,-373
38,-293,22910,390,389
39,-644,22782,-125,106
40,-358,22782,268,-257
41,-392,22935,108,-273
42,-384,23290,7,-497
43,-214,22748,119,-284
44,-38,22815,-122,-750
45,-371,23420,116,26
46,11,22779,-391,-265
47,-278,23041,17,-127
48,-104,23168,129,-122
49,-156,23170,127,252
50,-384,23161,255,-408
51,-255,22909,-4,-493
52,-238,23050,1,-256
53,-14,22892,0,-386
54,-396,22658,130,-113
55,-249,23038,255,-124
56,-401,22789,255,-766
57,-212,22907,264,-530
58,171,22690,3,-239
59,171,22483,127,-773
60,-375,23546,0,-376
61,-44,22880,128,-899
62,146,22817,-1,-123
63,-111,23302,250,-544
64,-142,23026,10,-885
65,-108,23044,522,-239
66,-632,23040,-26,-262
67,-387,22904,-251,-383
68,1,22664,-2,-513
69,-255,23433,128,-517
70,3,22998,127,-128
71,-1,22684,-1,-377
72,-381,23284,2,-752
73,-388,22508,-6,17
74,-258,23224,-137,-275
75,-129,23141,-108,-241
76,0,22782,142,121
77,-256,23055,122,-532
78,-509,23294,135,-249
79,0,22896,262,127
80,0,22673,119,-388
81,5,23292,-257,-388
82,-385,22640,9,-258
83,-127,22938,-5,-390
84,-275,22906,-2,-372
85,376,22784,10,-106
86,-113,23028,116,-138
87,-129,23303,-261,-768
88,-388,22891,135,-389
89,-121,23430,259,-362
90,-511,22794,10,-636
91,-40,23182,-277,-409
92,-108,22633,374,-20
93,-386,23561,145,15
94,-140,22904,126,-512
95,-128,23178,131,256
96,-377,23026,-1,-778
97,-11,22784,-2,-616
98,-514,23044,-1,125
99,40,23038,-254,-118
100,10,22904,-259,-513
101,87,22795,-131,-508
102,-509,23147,-4,-897
103,15,22663,256,-253
104,-404,23325,0,-14
105,-365,22870,259,-247
106,19,22663,-12,-179
107,248,23058,0,-1014
108,-165,23012,3,162
109,-385,22272,130,-148
110,-238,23040,-128,-636
111,33,23038,123,-1
112,102,23027,256,-516
113,-256,22529,0,-115
114,5,23064,252,-134
115,-289,23024,-272,-126
116,-520,22917,-123,-283
117,-496,23168,4,-650
118,-100,22912,257,-629
119,270,22909,125,-512
