,CH1,CH2,CH3,CH4
0,-520,22894,371,-131
1,-255,23300,145,-863
2,-628,22662,-124,-1155
3,-412,22906,-266,-257
4,-250,22780,256,-912
5,-373,22912,-133,-880
6,-401,22781,17,-639
7,-250,22656,255,-636
8,-391,22784,0,-255
9,-129,22652,1,-379
10,-502,22910,128,-769
11,-395,22783,132,-262
12,-125,22915,-256,-1281
13,-498,22912,7,-374
14,-513,22774,130,-272
15,-260,22536,252,-767
16,-255,23042,0,-247
17,-252,22785,125,129
18,-387,23030,-380,-5
19,-253,22915,-270,-627
20,-751,22661,247,-653
21,-544,22765,31,-144
22,-17,22929,-148,-234
23,-201,22293,150,-749
24,-536,22390,-372,-1021
25,-237,23029,-18,-793
26,-551,22799,-4,-142
27,114,22759,256,-224
28,-256,23150,-106,-990
29,-121,23181,-141,-732
30,-127,22919,122,-18
31,-142,22913,128,-224
32,-364,22789,134,-270
33,257,22783,-115,-244
34,-263,22910,-141,-498
35,-134,23159,128,-528
36,-640,22400,-128,-126
37,-254,23039,122,-624
38,-521,22657,-385,-653
39,-380,23296,0,-504
40,-369,22788,-257,-1013
41,-123,23040,114,-1028
42,-432,22655,132,-914
43,-457,22784,-129,-397
44,-8,22913,258,-374
45,-385,22910,383,-1018
46,16,22784,112,-894
47,-130,22782,-252,-376
48,-153,22913,266,-511
49,-507,22778,252,-665
50,27,23153,256,19
51,-16,23058,127,-879
52,-407,22792,21,-187
53,-637,22778,-393,-293
54,-132,23026,233,-901
55,255,23049,150,-399
56,9,22788,-4,-513
57,-256,22899,127,-145
58,-256,22816,2,-457
59,-129,22614,4,-934
60,-121,23044,-147,-57
61,-136,22667,374,-338
62,5,22899,134,-673
63,-248,23039,258,-130
64,-142,23039,2,-761
65,-109,22907,132,-902
66,-375,22777,-257,-382
67,-274,22803,0,-384
68,-250,23167,131,-252
69,-261,22767,251,-256
70,-248,22655,-133,-383
71,-383,22790,-256,-512
72,-261,23173,-135,265
73,-132,22901,129,-766
74,-125,22536,-129,-386
75,-254,23056,-4,-1034
76,-254,23037,255,-874
77,-159,22882,-146,-376
78,286,22280,-247,-528
79,-604,22923,0,-506
80,-443,22650,-127,-522
81,133,22784,129,-903
82,-246,22654,1,-1018
83,-20,22917,-132,-388
84,-212,23034,385,-512
85,-398,22527,261,-384
86,-148,22916,0,-774
87,-223,22656,127,-892
88,-395,23043,127,-625
89,-249,22908,255,-514
90,-402,22656,1,-641
91,-14,22881,130,-648
92,-228,23182,-384,-774
93,-251,22906,112,-242
94,-265,23168,5,-1264
95,-391,22658,126,-640
96,-238,22647,256,-265
97,129,23172,120,-788
98,-280,22898,0,-617
99,-502,23059,-13,-252
100,133,23288,-393,-692
101,-421,22785,-252,-843
102,-360,23040,-247,145
103,-277,22784,133,-540
104,-342,22656,0,-888
105,136,22790,134,0
106,-307,23165,254,-519
107,-379,22622,243,-267
108,-386,22681,-273,-913
109,-547,23037,-109,-309
110,-591,22782,-11,129
111,48,23187,-260,-321
112,-179,23153,-123,-614
113,-543,22654,-266,-130
114,-468,23042,-244,-650
115,-124,23290,4,-380
116,-415,22780,-384,-250
117,-358,23049,133,-137
118,-140,23031,-7,-520
119,-384,22914,-129,-381
120,-271,23043,-127,-511
121,-652,23041,1,-393
122,-342,23045,0,-643
123,-306,22534,1,123
124,-640,22896,-121,-107
125,-199,23182,-150,-513
126,-112,22903,138,-384
127,-259,23049,-256,-737
128,-133,22264,-1,-919
129,-241,22960,1,-258
130,-366,23154,0,-903
131,-526,22904,0,-373
132,-254,22915,149,-646
133,-511,22912,239,-380
134,-130,22777,-396,-512
135,-122,22531,-130,-513
136,-512,23050,1,-766
137,-125,23168,128,-640
138,-129,23023,-2,-385
139,-129,22655,-6,-522
140,-246,22770,41,-638
141,-639,22701,490,-649
142,-386,23420,-301,-893
143,-257,22644,44,-365
144,-256,23063,125,-130
145,-386,23294,128,-257
146,-384,23040,132,-257
147,-256,23165,122,-384
148,-264,22771,-128,-259
149,130,22660,-4,-261
150,-366,22791,-264,-520
151,-386,22918,22,-500
152,-507,23173,249,-387
153,-394,23166,-4,-648
154,-253,23173,134,-896
155,-515,22911,-5,-642
156,-143,23156,-130,-404
157,-138,23160,-1,-125
158,29,23210,-6,-266
159,-510,22645,128,121
160,-10,23304,-115,-241
161,-119,22902,-131,-512
162,-128,22795,127,-127
163,-128,23167,-135,-646
164,-134,22779,-387,-893
165,-265,22918,128,-518
166,-239,23036,-130,-374
167,-137,22647,262,-1024
168,-402,22804,-505,-269
169,-375,23436,-4,-119
170,-254,23000,-257,-1027
171,-397,22803,134,-865
172,-499,23030,-143,-511
173,-256,22653,-109,-799
