,CH1,CH2,CH3,CH4
0,-1,-127,-1,-245
1,-262,-256,-128,-385
2,-510,0,-2,-130
3,-258,-256,-256,-260
4,-640,254,128,-363
5,-128,4,-382,-1933
6,137,128,123,384
7,-382,126,256,-261
8,-259,-129,126,-774
9,-380,-129,-126,-1661
10,-514,-256,128,131
11,-7,-2,-256,-768
12,14,262,-4,-119
13,-516,-256,384,-3075
14,-379,-129,382,-887
15,-261,-384,-130,-641
16,-772,126,-127,-1151
17,-377,0,127,-381
18,-260,122,4,-2037
19,-636,512,-128,-1304
20,-395,-384,0,-2
21,0,132,127,-382
22,-512,-130,-254,-640
23,-385,-384,384,-1021
24,-382,128,-126,-1526
25,-514,-381,-258,-2441
26,-255,-1,0,-777
27,-259,-128,128,-128
28,-514,4,-1,512
29,-383,383,0,-1153
30,-251,-128,0,256
31,256,125,-258,-1152
32,-498,1,126,128
33,-516,-129,0,-134
34,-258,-256,0,-1288
35,-128,1,-1,-2167
36,-127,-1,1,8
37,-385,-257,256,-2
38,-255,-256,-381,-388
39,-513,-257,-2,-128
40,-383,0,127,-1408
41,-381,0,-131,-639
42,-125,128,-127,-1281
43,-259,128,1,-125
44,-253,-510,258,-384
45,-128,-522,258,-248
46,-637,-127,-256,-1152
47,-259,-126,-128,-1151
48,126,263,128,-888
49,129,508,-4,-122
50,-257,-130,-128,-130
51,0,-4,256,-510
52,-385,128,0,-768
53,-257,0,-255,-504
54,-515,127,3,1
55,-246,-259,-2,-392
56,5,-125,0,-766
57,-8,129,128,-770
58,-384,129,131,-1284
59,-131,-132,-384,128
60,-382,-252,-256,127
61,-640,256,-125,-7
62,-384,-130,-1,-639
63,-253,257,-128,380
64,-773,257,-1,-1544
65,-128,129,128,1519
66,-518,-2,-129,-414
67,-379,-253,-128,-1535
68,-129,-6,2,-5
69,-387,-767,383,-1535
70,-383,384,-256,901
71,-384,-374,-4,-121
72,-383,-128,0,-911
73,-513,385,-387,-1894
74,-257,252,-382,1163
75,-384,130,-127,-654
76,-128,254,-1,125
77,-384,-256,-255,-1408
78,-127,-257,-129,894
79,-511,-384,-128,-1024
80,-130,-128,0,-640
81,-647,-256,-2,-1025
82,-243,0,-128,-382
83,-132,-258,131,-387
84,-385,-387,257,-639
85,-261,-2,1,-640
86,0,-1,-1,-768
87,-255,-3,-127,-127
88,-384,-263,128,-908
89,-256,-378,-126,-1152
90,-382,256,384,-769
91,-388,-508,-255,-1403
92,-257,-127,0,642
93,-651,-129,-130,-1168
94,-761,-256,-257,-498
95,-247,-128,-256,-888
96,-390,-256,0,114
97,-640,127,257,-2048
98,-267,-128,-126,625
99,0,0,-257,-1152
100,-126,0,-382,-1790
101,-256,1,255,-509
102,-256,254,-385,-1024
103,-382,-383,0,-384
104,-515,-137,0,-650
105,-255,128,-129,128
106,-256,129,124,-1932
107,-125,256,-383,-1140
108,-132,-2,386,-245
109,-385,-258,126,251
110,-121,-512,-1,-512
111,126,-511,0,-384
112,-511,-510,-1,-1541
113,-2,128,128,-622
114,-128,-387,-1,133
115,-130,-509,-129,-136
116,-512,-128,-128,-765
117,-259,-129,-1,-384
118,-255,0,-1,-1155
119,1,-260,128,260
120,4,-254,-4,-131
121,122,253,-258,-132
122,-257,-384,-253,-1158
123,1,128,0,-1664
124,-257,259,-256,-1414
125,-132,-2,-2,-384
126,-126,-132,127,-130
127,-383,-638,-128,0
128,-388,1,-256,-254
129,-3,-256,0,-3
130,-246,125,-513,-768
131,-641,136,253,-253
132,-256,-5,-378,-1023
133,-256,640,-256,-767
134,-129,-125,0,-1405
135,-257,-132,-256,-1663
136,-126,-1,252,-1165
137,-128,4,385,129
138,-375,-4,260,-1131
139,-516,512,-128,-1156
140,-257,0,-128,-772
141,-511,-383,-385,-130
142,-518,-258,-257,-247
143,-257,-380,-128,-421
144,-382,-522,-130,818
145,-256,-2,-128,-2432
146,-256,-3,-256,-1033
147,-262,1,-128,-128
148,-507,129,128,251
149,257,0,-128,-512
150,-125,-384,-257,-1279
151,-134,-256,-129,-773
152,-2,-512,0,0
153,-126,-127,-1,639
154,-640,-128,-129,-262
155,-258,0,-256,-256
156,-509,-129,127,-247
157,-266,123,1,-1658
158,128,256,128,-778
159,-129,-128,128,-639
160,-1,128,255,-771
161,-392,128,-130,-1280
162,-512,641,-256,-5
163,-511,-125,128,-256
164,-270,255,-257,127
165,3,-256,255,-623
166,-382,259,0,-1409
167,-133,-1,0,-505
168,-2,128,2,388
169,-115,256,-384,-1663
170,-521,139,-130,117
171,129,-257,-256,-896
172,-263,384,-128,-896
173,-254,-128,-129,381
174,-263,-1,-255,-1535
175,-514,-253,256,770
176,-382,765,-126,-1024
177,-253,142,125,125
178,4,-384,1,-1526
179,-640,0,-127,-1028
180,-131,-256,-1,-640
181,-384,1,-128,767
182,-257,-1,128,-376
183,-384,258,-126,-1278
184,-256,-128,-2,-1286
185,-385,131,256,-512
186,-256,257,-128,-256
187,-252,253,-255,-897
188,258,-129,256,-513
189,-3,126,0,-1030
190,-254,383,-387,-1926
191,-512,256,127,384
192,-510,256,-128,384
193,-643,-259,127,384
194,-128,-384,-256,-768
195,-380,-255,256,1024
196,-385,-2,-123,-1519
197,-128,258,-131,-542
198,-384,0,-127,639
199,4,255,-383,-122
200,-133,-256,130,-887
201,-385,255,-130,-1673
202,-255,-255,-256,-11
203,0,124,-130,-624
204,-124,-128,-124,-640
205,-255,1,-386,-1024
206,-388,-1,258,-514
207,-125,132,124,-1407
208,-637,382,0,-128
209,-266,-254,127,-1280
210,135,-121,128,-255
211,-388,-512,128,-1670
212,-254,386,126,-1659
213,-388,128,-258,-376
214,-509,256,-383,382
215,-254,129,-1,-892
216,-257,3,-253,-650
217,-134,-384,-130,-372
218,3,0,-128,-1156
219,-382,-515,-126,634
220,-512,-382,382,384
221,-3,0,-257,-505
222,135,-383,127,-1397
223,-505,-263,2,-1450
224,-254,0,-256,1402
225,-4,-257,-384,128
226,-514,-127,-127,128
227,-123,1,1,-1790
228,-261,128,128,636
229,-512,1,-128,-2814
230,-139,-511,0,128
231,3,-382,-384,381
232,-384,128,-384,-646
233,-128,-384,-383,-1016
234,-384,257,-127,-127
235,-257,-129,-128,-772
236,-507,-2,-129,-1040
237,-640,-254,-127,0
238,-510,-514,-385,-1792
239,-385,-769,-255,-1030
240,-378,-636,-122,-2172
241,6,384,384,773
242,-4,-380,-4,-766
243,-384,-639,0,145
244,-517,-638,0,-2048
245,-129,1,0,139
246,-254,-383,-257,-643
247,-640,127,-253,121
248,-260,-513,128,-1281
249,-129,-131,-128,-133
250,-259,-256,0,0
251,-892,-127,-1,-757
252,-121,-1,1,1171
253,-657,1,128,353
254,-630,126,-1,-1533
255,-384,-257,-128,-899
256,-515,0,-1,-2182
257,-513,-258,0,128
258,-385,-257,128,-385
259,-384,-253,252,1
260,-128,128,-131,-772
261,-254,127,-128,-1024
262,-388,1,0,-653
263,-128,-1,-128,516
264,-388,127,0,-903
265,-382,-260,-128,-513
266,-256,-122,0,-1029
267,-388,255,-1,-633
268,-510,-384,-128,-128
269,-128,-258,256,-513
270,-257,-256,0,0
271,1,131,131,-778
272,-511,123,126,-760
273,-384,-383,-258,-384
274,-256,-130,-384,-899
275,-640,-768,-126,-1152
276,-387,-3,-639,-768
277,-385,-384,-126,-1152
278,-383,4,0,-512
279,-391,126,-131,-1020
280,-770,-1,-255,128
281,-374,1,2,-1026
282,-128,389,129,-256
283,-383,-383,0,-1024
284,-131,129,0,-384
285,0,-387,-1,-387
286,-127,2,-129,-775
287,-256,-259,-128,-1153
288,-130,0,0,-1024
289,-131,260,128,-1023
290,-132,-514,-1,-756
291,-506,-127,-126,658
292,-3,-130,-3,876
293,-781,-128,-512,-647
294,-372,-128,0,-638
295,-129,-384,-254,-640
296,-253,-128,-3,377
297,-258,-257,-1,128
298,-1,-255,-128,-901
299,-127,1,1,-1021
300,-254,0,0,0
301,-768,0,0,-256
302,-395,0,2,-774
303,-261,0,-639,0
304,-639,1,-251,-642
305,-121,132,-1,-387
306,-261,252,0,-1020
307,-384,-386,0,0
308,-253,-128,128,-510
309,-128,256,0,640
310,-252,-131,-1,-404
311,-512,-387,128,-1915
312,-387,-767,-1,-497
313,129,3,-128,-1034
314,-126,-128,0,-628
315,-514,2,-255,384
316,2,-768,-129,-766
317,123,-376,-128,-388
318,-394,128,-126,-1668
319,-377,-384,-2,-1022
320,-126,0,-257,-1023
321,-262,-640,1,-768
322,-383,-140,129,-384
323,-1,-1,-256,-128
324,-255,-383,1,393
325,-2,131,0,384
326,-127,-129,-128,-1668
327,-129,0,0,-896
328,-248,-385,-1,-1280
329,-643,-1,257,1119
330,-128,-256,-126,22
331,-257,377,-128,-1532
332,-258,387,-128,-1031
333,-511,-387,-131,129
334,-128,761,384,-757
335,-384,395,128,-798
336,-4,259,384,4
337,-255,-256,0,-773
338,-128,256,128,258
339,-257,254,-129,-1410
340,125,643,-129,637
341,0,-251,-3,-661
342,130,-3,133,1802
343,-129,-256,-256,-1536
344,1,1,0,-518
345,-130,-260,0,0
346,-127,-382,-129,-261
347,-129,0,-256,-640
348,-257,-126,-2,-1277
349,-380,-127,127,-901
350,-512,-128,128,0
351,-385,256,0,-259
352,-258,-128,129,-641
353,2,256,384,-898
354,-508,-384,-126,-1024
355,-265,125,-128,-1150
356,0,-256,-256,-1028
357,-131,0,0,-390
358,-259,-256,-5,-388
359,-253,512,-383,-1280
360,-131,-380,256,-1150
361,-641,-519,1,-1425
362,-403,-3,-3,-133
363,-4,0,128,-1384
364,-250,-1,-128,-2303
365,-389,-127,0,-1780
366,124,384,-128,758
367,-120,-382,-128,644
368,-135,-148,-256,-378
