,CH1,CH2,CH3,CH4
0,1285,256,-9984,382
1,1153,-276,-10121,642
2,1405,-511,-10624,768
3,1401,-239,-10236,1028
4,1023,-18,-10500,896
5,1285,-895,-10356,780
6,1155,-126,-9986,1151
7,1026,-772,-10503,513
8,1280,-384,-10499,1154
9,896,-511,-10497,631
10,1151,-12,-10633,1018
11,1022,127,-9982,893
12,1397,261,-10622,386
13,1408,-256,-9976,646
14,1280,-128,-10108,896
15,1018,-257,-11010,1282
16,768,-387,-10496,899
17,896,131,-10368,381
18,1024,384,-10368,516
19,1545,386,-10750,775
20,1402,256,-10241,1024
21,895,-389,-10496,637
22,1276,-387,-10885,640
23,1279,383,-10247,768
24,1281,-234,-10477,646
25,1157,-383,-10633,635
26,1143,-513,-10241,901
27,1407,-251,-10368,256
28,897,128,-10113,501
29,1158,252,-10626,896
30,1276,-125,-10237,645
31,889,-252,-10109,256
32,1026,0,-9985,512
33,1538,-384,-10239,512
34,1158,-3,-9984,1145
35,767,-258,-10370,1025
36,1014,-389,-10367,897
37,1407,-377,-10495,894
38,1287,-655,-9993,1023
39,1279,-126,-10112,893
40,1409,-387,-10370,638
41,1151,-120,-10243,375
42,1279,4,-10624,389
43,1157,-15,-10361,1027
44,1536,-641,-10239,632
45,1150,-233,-10239,508
46,1408,125,-10112,386
47,1017,-387,-10114,508
48,1023,-128,-10495,126
49,1281,-257,-10496,517
50,1276,125,-10245,765
51,1412,-126,-9854,1151
52,1025,125,-10494,643
53,1280,0,-10112,509
54,1280,-127,-10496,257
55,1025,-385,-9979,775
56,1282,-257,-10114,766
57,1009,-257,-10372,770
58,772,-257,-10624,768
59,1286,-127,-10629,766
60,1023,-129,-10629,770
61,1156,-259,-9984,885
62,1280,-384,-10485,507
63,1149,-385,-10751,1408
64,1024,-144,-10759,660
65,1150,384,-10498,639
66,1280,-128,-10368,385
67,1151,-258,-10499,643
68,1277,-384,-10621,1018
69,1403,-8,-10744,1144
70,1026,-771,-10109,514
71,1534,-247,-10522,521
72,1023,-256,-10749,768
73,1409,-253,-10236,510
74,896,-1,-10496,763
75,1157,-129,-10106,896
76,1278,-263,-9849,395
77,1536,0,-10614,129
78,1164,-129,-10774,129
79,1148,-126,-10239,253
80,1280,-768,-10751,889
81,1154,-246,-10240,1020
82,1148,128,-10495,771
83,1407,-2,-10619,899
84,1028,-2,-9857,1154
85,896,-4,-10371,1014
86,1152,-256,-10244,514
87,1023,253,-10240,515
88,1276,-507,-10622,640
89,1409,-132,-10499,511
90,1273,-132,-10360,768
91,1426,7,-10506,638
92,891,-636,-9987,1020
93,1534,-256,-10369,768
94,771,-7,-10120,640
95,769,385,-9986,383
96,1151,258,-10487,385
97,1023,-130,-10624,4
98,1152,-256,-10241,764
99,1022,-258,-10500,895
100,895,-387,-10377,508
101,1024,0,-9982,1152
102,1027,-243,-10489,666
103,1019,-262,-10248,252
104,1398,5,-10362,726
105,1284,-257,-10368,1280
106,1031,1,-10619,913
107,898,-384,-10751,512
108,1535,-128,-10242,766
109,1150,-511,-10375,511
110,1024,129,-10625,511
