,CH1,CH2,CH3,CH4,,Gate Volteage,Drain Voltage,Drain Current
0,1151,128,9091,909,,0.089921875,0.00002,5.68125E-05
1,768,-252,8056,2038,,0.06,-0.000039375,0.000127375
2,1025,0,9466,1552,,0.080078125,0,0.000097
3,1024,-385,8207,519,,0.08,-6.01563E-05,3.24375E-05
4,1152,135,7940,512,,0.09,2.10938E-05,0.000032
5,1151,255,8841,-257,,0.089921875,3.98438E-05,-1.60625E-05
6,1142,-2,10408,651,,0.08921875,-3.125E-07,4.06875E-05
7,771,-1,11396,896,,0.060234375,-1.5625E-07,0.000056
8,1282,9,10690,-20,,0.10015625,1.40625E-06,-0.00000125
9,756,512,8829,-771,,0.0590625,0.00008,-4.81875E-05
10,913,118,10545,672,,0.071328125,1.84375E-05,0.000042
11,1280,-125,11259,1660,,0.1,-1.95313E-05,0.00010375
12,1151,-384,9180,1533,,0.089921875,-0.00006,9.58125E-05
13,1280,-139,8706,905,,0.1,-2.17188E-05,5.65625E-05
14,1151,134,8703,638,,0.089921875,2.09375E-05,0.000039875
15,1015,-486,8789,1307,,0.079296875,-7.59375E-05,8.16875E-05
16,1533,-378,9984,-1032,,0.119765625,-5.90625E-05,-0.0000645
17,1161,-3,8576,-683,,0.090703125,-4.6875E-07,-4.26875E-05
18,767,-516,7168,1542,,0.059921875,-0.000080625,0.000096375
19,1019,-122,8439,640,,0.079609375,-1.90625E-05,0.00004
20,1276,-127,9474,1290,,0.0996875,-1.98438E-05,0.000080625
21,1025,-2,9863,256,,0.080078125,-3.125E-07,0.000016
22,1283,15,11000,150,,0.100234375,2.34375E-06,0.000009375
23,1027,377,9727,767,,0.080234375,5.89063E-05,4.79375E-05
24,1155,-641,11288,-135,,0.090234375,-0.000100156,-8.4375E-06
25,1534,512,10766,-9,,0.11984375,0.00008,-5.625E-07
26,1536,382,9979,-1153,,0.12,5.96875E-05,-7.20625E-05
27,1283,-3,9589,-135,,0.100234375,-4.6875E-07,-8.4375E-06
28,1152,379,10744,-381,,0.09,5.92188E-05,-2.38125E-05
29,1154,517,11130,615,,0.09015625,8.07813E-05,3.84375E-05
30,1025,128,11131,505,,0.080078125,0.00002,3.15625E-05
31,896,-512,9735,640,,0.07,-0.00008,0.00004
32,1030,-639,9212,1412,,0.08046875,-9.98438E-05,0.00008825
33,1278,-134,9600,772,,0.09984375,-2.09375E-05,0.00004825
34,893,-133,11892,263,,0.069765625,-2.07813E-05,1.64375E-05
35,1024,-384,8576,636,,0.08,-0.00006,0.00003975
36,1159,6,9232,-668,,0.090546875,9.375E-07,-0.00004175
37,1405,0,9085,-1030,,0.109765625,0,-0.000064375
