,CH1,CH2,CH3,CH4
0,896,255,638,1920
1,1021,256,255,780
2,638,384,391,896
3,1034,382,894,898
4,1281,507,107,640
5,1273,128,130,896
6,896,515,767,512
7,1155,387,385,760
8,1155,255,513,1023
9,1025,258,261,1046
10,1140,253,130,251
11,1535,501,866,1346
12,1415,376,1280,1395
13,894,4,-122,380
14,1026,641,136,500
15,1153,-12,256,6
16,1280,138,774,1292
17,1279,257,641,363
18,1153,519,770,279
19,893,509,640,1163
20,1021,255,128,1270
21,1536,384,640,629
22,1156,383,128,654
23,1404,640,378,1917
24,1282,388,641,1405
25,1152,260,133,1285
26,1152,0,263,122
27,1027,511,640,643
28,1278,120,379,894
29,894,-1,256,635
30,1152,383,380,521
31,1030,-127,-1,1034
32,1537,8,520,1280
33,1272,513,261,1019
34,1024,258,0,503
35,1027,641,371,758
36,1152,1,895,1664
37,896,246,533,804
38,1278,384,256,129
39,1400,384,383,122
40,897,-5,518,639
41,1285,0,896,759
42,1280,387,633,1528
43,1271,253,643,512
44,896,128,761,1542
45,1153,256,382,640
46,896,383,253,1029
47,1027,256,128,770
48,1151,385,258,640
49,1280,524,508,529
50,1032,9,516,-128
51,900,114,130,511
52,1012,385,256,-130
53,1664,-128,122,877
54,1033,258,640,1660
55,1030,128,130,1156
56,1406,514,134,1410
57,1278,387,767,1020
58,1022,257,382,895
59,1280,512,635,1145
60,1026,505,512,1398
61,1147,-124,-125,259
62,1287,-3,123,639
63,909,5,261,391
64,892,119,127,251
65,1146,641,252,1004
66,1537,256,256,1280
67,767,513,376,1024
68,1406,127,767,906
69,1275,384,261,1537
70,1151,-1,384,621
71,1407,383,256,256
72,902,249,512,640
73,896,-386,505,376
74,1149,256,898,1409
75,1152,9,144,647
76,1157,250,369,1515
77,1023,389,508,1638
78,1274,131,515,1806
79,1408,-3,1,-248
80,1280,256,256,1280
81,1280,0,126,780
82,1280,2,643,638
83,1272,128,386,260
84,766,-2,121,-512
85,1152,126,128,116
86,1537,514,768,891
87,1032,648,386,1407
88,761,130,640,1157
89,898,487,385,1257
90,766,654,636,1675
91,1152,131,513,795
92,1410,136,511,131
93,1019,383,384,638
94,1151,127,252,645
95,1277,387,3,1279
96,1025,247,778,762
97,898,126,510,1156
98,1153,0,260,1012
99,1152,128,384,768
100,1151,137,261,641
101,1280,390,778,646
102,1274,-255,-384,256
103,1534,119,496,1274
104,1409,-128,128,634
105,1275,-7,512,-128
106,896,382,250,1039
107,1023,0,257,1024
108,897,384,638,1545
109,1287,-1,253,1277
110,1280,390,386,1414
111,1271,128,255,1536
112,896,132,124,1002
113,1155,384,-130,-1
114,1026,382,512,771
115,1152,253,502,905
116,1267,259,775,397
117,1536,-6,130,-277
118,1153,641,777,764
119,1152,383,515,634
120,1280,642,-9,1407
121,1149,250,-125,909
122,1152,-124,405,902
123,1020,384,766,1410
124,1025,125,379,1405
125,1152,253,384,1153
126,1153,255,-3,1024
127,1025,121,123,1027
128,1027,644,512,132
129,1012,6,638,375
130,1536,384,639,510
131,1022,1,514,1530
132,1021,257,256,1920
133,1283,0,512,1536
134,1409,387,255,1280
135,895,127,253,1157
136,1150,386,5,1008
137,1279,126,640,-256
