,CH1,CH2,CH3,CH4
0,1151,763,639,554
1,1150,254,128,2043
2,1153,1153,384,1792
3,894,524,256,149
4,1278,760,387,-145
5,1150,648,124,1777
6,1280,640,513,740
7,894,640,257,-640
8,1409,513,258,-381
9,1025,768,257,-506
10,1539,633,252,532
11,1014,384,-1,383
12,1028,645,260,923
13,1021,638,385,1151
14,1025,510,638,902
15,1153,386,256,653
16,1147,257,381,-508
17,1024,634,514,1748
18,1409,512,261,2070
19,1284,512,0,-219
20,1020,509,262,-896
21,889,385,512,-389
22,1662,912,251,258
23,754,1019,257,512
24,915,514,394,389
25,1274,895,638,897
26,1029,245,253,125
27,1407,382,384,885
28,886,254,256,1153
29,1150,377,511,1280
30,1407,638,384,647
31,908,518,386,-615
32,892,380,256,-636
33,1277,129,256,493
34,1146,791,128,757
35,1021,1019,382,128
36,1542,633,505,1041
37,1398,777,257,1280
38,1020,884,639,605
39,1148,383,254,2
40,1406,641,379,1286
41,1152,384,-133,637
42,1408,513,769,1429
43,1155,767,267,1168
44,1028,516,125,-132
45,888,498,256,107
46,1279,1024,128,512
47,1024,384,383,640
48,1026,640,381,1942
49,1152,515,128,1923
50,1152,514,388,1005
51,1152,768,384,515
52,1025,507,2,1038
53,1152,512,511,1156
54,894,638,256,13
55,898,510,384,2176
56,641,1025,251,-276
57,1144,147,645,97
58,1412,383,10,1009
59,1152,383,250,1669
60,1150,510,512,512
61,767,512,255,-504
62,1414,1150,258,-128
63,1273,514,513,1142
64,1025,900,374,1024
65,1411,641,257,-764
66,1789,511,765,512
67,1284,384,257,1272
68,1154,513,512,1283
69,1279,641,128,426
70,1155,514,512,-284
71,1020,504,253,1494
72,1152,640,512,1019
73,899,640,-2,888
74,1028,768,772,-934
75,1406,637,256,-757
76,1154,505,510,406
77,1536,385,126,621
78,1147,771,506,-658
79,1153,640,-256,20
80,898,767,386,1160
81,1279,256,385,756
82,1152,-257,0,252
83,1278,497,379,381
84,1152,637,386,896
85,1279,898,2,387
86,1280,384,131,645
87,1408,255,256,768
88,1146,646,384,767
89,1155,769,255,772
90,1272,381,129,875
91,895,384,380,-2
92,1155,254,502,916
93,895,257,0,1151
94,1031,514,385,747
95,1405,388,260,-4
96,1273,254,255,1152
97,768,756,508,1046
98,890,640,385,389
99,1534,0,130,248
100,1266,514,-130,895
101,765,256,120,635
102,1413,776,892,1404
103,1148,377,122,512
104,1150,268,528,1413
105,1026,1024,381,640
106,1410,122,259,1159
107,1152,765,384,898
108,1284,765,385,384
109,1407,-8,639,-241
110,1408,762,512,-262
111,1154,384,643,1133
112,1279,1022,384,1026
113,1402,768,513,518
114,1664,644,256,258
115,1159,896,512,387
116,896,387,127,130
117,1021,1024,510,767
118,1281,120,509,504
119,1282,384,127,1264
120,1279,512,384,2291
121,1538,513,126,262
122,1030,386,637,639
123,1011,374,521,505
124,1282,761,389,1774
125,1031,779,370,1956
126,1023,256,895,384
127,1024,636,130,640
128,1025,512,769,4
129,1280,768,519,894
130,1021,384,384,364
131,1023,767,381,-130
132,1281,507,639,901
133,1156,253,260,1139
134,1024,640,382,1914
135,1407,515,385,-357
136,1032,637,387,1086
137,891,530,256,1585
138,1022,379,382,516
139,1149,774,386,266
140,1280,-131,256,-384
141,1152,512,384,-142
142,1151,511,251,513
143,1025,639,0,260
144,1532,255,254,-644
145,762,637,0,1255
146,1024,640,254,1539
147,1536,767,-3,513
148,1032,641,638,1275
149,882,644,386,771
150,1152,512,513,1285
151,1023,639,129,639
152,1280,503,385,1019
153,1153,388,384,-255
154,1284,1030,768,658
155,1408,630,381,1281
156,1148,521,252,999
157,1279,770,129,255
158,1406,635,508,380
159,1151,512,128,128
160,1151,509,510,646
161,1275,384,-124,517
162,1538,511,384,0
163,1157,646,755,-391
164,1404,256,893,1028
165,1285,122,127,768
166,893,642,650,660
167,1024,384,638,1409
168,1405,512,258,1035
169,1021,255,511,1658
170,1288,918,127,-554
171,1278,1280,513,-242
172,1146,887,123,524
173,1024,640,126,1157
174,1287,645,640,1916
175,1410,1029,395,263
176,1152,388,255,1033
177,1135,506,377,-771
178,1535,640,506,1149
179,1280,511,1,11
180,1407,640,262,639
181,1024,642,384,114
182,1155,892,386,1668
183,1283,384,381,378
184,1662,643,128,258
185,1145,643,256,126
186,1023,512,-1,640
187,1023,769,378,514
188,1149,509,640,156
189,1281,1016,771,-1436
190,1152,768,394,1132
191,1278,771,1,1537
192,1280,125,128,896
193,1280,645,513,896
194,1279,629,-130,1
195,1152,512,258,776
196,1280,642,129,364
197,1152,508,509,-384
198,1280,386,383,413
199,1155,639,256,1535
200,1024,510,384,640
201,1150,752,257,896
202,1153,1033,257,384
203,1022,390,127,881
204,1152,768,255,625
205,1027,639,254,-116
206,900,894,653,1004
207,1282,512,496,-1414
208,1150,898,2,566
209,1282,512,512,-277
210,1149,382,-5,-227
211,1153,255,385,788
212,1285,256,253,1792
213,1406,381,384,655
214,1151,639,639,656
215,1280,260,395,2299
216,1023,510,127,917
217,1021,639,380,509
218,1150,637,510,640
219,895,383,255,511
220,1152,388,252,890
221,897,512,132,256
222,1425,512,646,1684
223,1526,640,380,1544
224,1017,500,384,-511
225,1154,1,385,1509
226,1020,256,773,1274
227,1024,123,514,115
228,1025,637,255,1920
229,1285,389,772,167
230,895,642,128,772
231,1280,507,128,1166
232,896,263,261,124
233,1404,774,639,1152
234,1272,633,377,1770
235,1021,508,256,768
236,1030,391,254,1657
237,1406,768,258,123
238,1536,513,381,539
239,1537,768,128,1281
240,1280,126,385,485
241,1536,361,384,-257
242,1157,899,385,258
243,1270,506,128,408
244,1281,1280,255,-645
245,896,768,-1,128
246,1281,384,388,402
247,1025,889,512,1787
248,1537,632,256,1655
249,1024,-128,512,1271
250,1028,260,250,640
251,1154,128,128,1024
252,1407,389,128,642
253,1153,1023,-4,1024
254,1280,641,380,116
255,1150,641,266,-644
256,1413,385,247,365
257,1022,386,513,1153
258,1407,123,127,640
259,897,128,384,633
260,1152,903,256,896
261,898,642,642,510
262,1411,767,500,384
263,1022,513,256,-893
264,1025,513,511,-128
265,899,637,129,362
266,639,768,260,1536
267,1011,645,639,263
268,1413,517,382,1379
269,771,484,121,1425
270,1278,890,384,1009
271,1155,127,-1,-130
272,1153,777,383,654
273,1281,509,0,640
274,1277,629,643,891
275,1151,-1,131,252
276,1150,524,389,651
277,1024,512,256,641
278,1154,767,-129,1029
279,1152,384,-1,1022
280,1153,511,128,760
281,1404,640,511,382
282,1408,640,257,1151
283,1409,515,128,142
284,1152,256,128,-760
285,1152,381,256,257
286,1022,901,518,-508
287,1154,898,896,904
288,1286,380,506,747
289,1273,511,384,788
290,772,639,391,2046
291,1409,511,643,890
292,1143,508,-1,1152
293,1021,254,505,512
294,1409,638,384,1024
295,1152,639,384,680
296,1152,640,256,-258
297,1024,256,254,379
298,1154,642,515,124
299,1153,384,512,632
300,1153,388,376,1293
