,CH1,CH2,CH3,CH4
0,-645,-255,-3,-387
1,-895,-388,-128,-257
2,-389,128,-2,-128
3,-635,-391,254,-128
4,-1150,-377,-386,129
5,-1153,-132,1,-265
6,-898,-642,-1,-640
7,-765,-384,128,-256
8,-1148,-384,1,-514
9,-1152,-385,-130,-641
10,-1015,-641,-379,-640
11,-509,-510,514,-507
12,-775,-512,-136,-256
13,-900,-512,-128,-516
14,-1151,-384,254,-768
15,-779,-512,129,-643
16,-637,-898,-2,-128
17,-898,-895,-256,-2
18,-639,-510,2,-643
19,-1279,-382,0,-768
20,-1029,128,128,-512
21,-895,-499,-1,-513
22,-1026,-640,257,-384
23,-1153,-4,-260,-640
24,-1017,-903,6,-514
25,-773,-505,383,-767
26,-1545,-385,-131,-124
27,-1397,-768,-257,130
28,-639,-395,-385,256
29,-1018,-2,-129,-646
30,-1278,-772,-256,-632
31,-1666,-1024,0,-123
32,-891,-635,-256,-259
33,-383,-256,128,-513
34,-1153,-511,-510,-768
35,-384,-512,-129,-897
36,-1029,-771,-384,-509
37,-630,-767,4,-128
38,-774,-382,-2,-258
39,-768,-128,1,-512
40,-898,-128,-1,-128
41,-896,-377,-256,-636
42,-768,-640,-1,-384
43,-1146,-257,2,1
44,-1157,-510,512,-256
45,-387,0,-130,-644
46,-633,-384,128,-637
47,-895,-260,1,128
48,-895,-5,-131,389
49,-1024,-249,128,-123
50,-767,-898,-128,-511
51,-645,-131,127,-384
52,-1153,-251,5,-510
53,-634,-386,-512,-639
54,-512,-129,-15,-405
55,-1011,-256,258,260
56,-1158,-255,0,-635
57,-771,-512,0,-640
58,-896,-515,127,-769
59,-895,127,-257,-392
60,-1149,-503,254,120
61,-915,-647,126,143
62,-641,-385,384,-512
63,-1024,-389,0,-640
64,-637,-768,0,-640
65,-901,-251,-254,-384
66,-1025,-128,512,-512
67,-1026,-507,-126,-254
68,-509,-642,383,-768
69,-899,-512,0,-384
70,-383,-638,-258,-512
71,-1279,129,-384,-384
72,-775,-384,-256,-383
73,-638,-1025,127,-127
74,-769,-140,127,-634
75,-641,-128,255,-514
76,-1025,-640,-128,-386
77,-767,0,1,-128
78,-1028,-384,0,-384
79,-897,-128,128,-258
80,-1023,-513,129,-380
81,-633,122,-127,-514
82,-1276,128,-128,-259
83,-776,-386,-256,-383
84,-639,-384,-257,-640
85,-646,-384,-1,-386
86,-626,-130,-124,-127
87,-1278,5,-261,-640
88,-767,-383,256,-384
89,-898,-256,0,-896
90,-769,-512,-1,-257
91,-894,-640,-129,-1151
92,-638,-513,-128,2
93,-768,-767,-3,-640
94,-772,-263,131,-1
95,-1281,0,-383,-764
96,-645,-1,-126,-513
97,-764,-258,-387,-512
98,-1024,-384,-383,-768
99,-900,-258,0,-515
100,-893,7,258,-122
101,-1408,-640,-127,-896
102,-1657,4,0,0
103,-373,-265,128,-128
104,-775,-895,127,-129
105,-768,-254,0,-386
106,-1024,-256,-256,-514
107,-896,-246,254,-768
108,-1150,-896,1,-640
109,-1029,-256,-1,-253
110,-767,-512,-257,256
111,-1024,-258,-129,-640
112,-767,-897,-384,-256
113,-1152,-514,125,-383
114,-771,-513,-124,-131
115,-514,-383,-2,-130
116,-1031,-767,255,-126
117,-1151,-126,-130,-766
118,-1024,-252,-129,-388
119,-895,-768,-256,-133
120,-640,-271,-128,247
121,-766,-128,-255,0
122,-768,-768,-129,-897
123,-896,8,1,-128
124,-896,-136,127,-769
125,-1021,-1027,0,-256
126,-1157,-770,128,-640
127,-645,-510,-131,-128
128,-1031,-768,384,-770
129,-1020,-638,-259,-639
130,-640,-256,-256,-511
131,-1031,-129,-127,-383
132,-1022,-128,0,-257
133,-894,-252,-259,-125
134,-766,-640,252,-763
135,-1023,-128,128,-519
136,-770,-515,-256,-1
137,-512,-384,132,-384
138,-1023,-512,255,-511
139,-897,-384,0,-769
140,-1148,-510,256,-389
141,-1023,-638,-256,-385
142,-895,-1022,-128,-256
143,-771,-122,253,-256
144,-1023,-130,-128,-770
145,-639,-512,384,-639
146,-896,-2,-250,-514
147,-888,-127,-133,-256
148,-1534,-257,0,128
149,-1158,-257,-256,-260
150,-896,-514,4,-770
151,-1152,-767,384,-767
152,-1025,-255,128,-511
153,-1027,-379,129,-384
154,-766,-641,-1,-512
155,-772,-126,385,-640
156,-1023,-385,251,-259
157,-764,-384,-2,-769
158,-901,-384,130,1
159,-1024,-255,387,-384
160,-1024,-630,386,-2
161,-1154,-638,-256,-512
162,-897,2,-256,-1024
163,-896,-387,-512,-503
164,-1023,-256,-125,-128
165,-1153,-770,384,-257
166,-1025,-771,768,-385
167,-1153,-384,128,0
168,-1154,-257,-125,-640
169,-1146,-513,-3,3
