,,CH1,CH2,CH3,CH4,,GateV,Vf,If
0,-3.00E-06,-640,11386,11521,-642,,-0.1,1.7790625,-0.00040125
1,-3.00E-06,-634,11778,11264,-128,,-0.0990625,1.8403125,-0.00008
2,-3.00E-06,-1023,10877,11904,-130,,-0.15984375,1.69953125,-0.00008125
3,-2.99E-06,-1025,11137,11903,-643,,-0.16015625,1.74015625,-0.000401875
4,-2.99E-06,-1152,11263,11648,-765,,-0.18,1.75984375,-0.000478125
5,-2.99E-06,-1023,11008,11776,-254,,-0.15984375,1.72,-0.00015875
6,-2.99E-06,-1411,11392,11648,-256,,-0.22046875,1.78,-0.00016
7,-2.99E-06,-645,11136,11647,-127,,-0.10078125,1.74,-0.000079375
8,-2.98E-06,-1026,11392,11775,-512,,-0.1603125,1.78,-0.00032
9,-2.98E-06,-639,11139,11904,-768,,-0.09984375,1.74046875,-0.00048
10,-2.98E-06,-898,11517,11906,-514,,-0.1403125,1.79953125,-0.00032125
11,-2.98E-06,-637,10495,12028,-509,,-0.09953125,1.63984375,-0.000318125
12,-2.98E-06,-901,11392,11519,510,,-0.14078125,1.78,0.00031875
13,-2.97E-06,-762,11519,11776,-894,,-0.1190625,1.79984375,-0.00055875
14,-2.97E-06,-512,11523,11519,-139,,-0.08,1.80046875,-0.000086875
15,-2.97E-06,-1015,11134,12032,-512,,-0.15859375,1.7396875,-0.00032
16,-2.97E-06,-1152,11139,12032,-768,,-0.18,1.74046875,-0.00048
17,-2.97E-06,-1026,11131,11902,-505,,-0.1603125,1.73921875,-0.000315625
18,-2.96E-06,-770,10752,11648,-128,,-0.1203125,1.68,-0.00008
19,-2.96E-06,-640,11137,11520,-515,,-0.1,1.74015625,-0.000321875
20,-2.96E-06,-638,11140,11264,-767,,-0.0996875,1.740625,-0.000479375
21,-2.96E-06,-768,11008,11648,-768,,-0.12,1.72,-0.00048
22,-2.96E-06,-643,11519,11776,-380,,-0.10046875,1.79984375,-0.0002375
23,-2.95E-06,-1171,10879,11773,-123,,-0.18296875,1.69984375,-0.000076875
24,-2.95E-06,-1391,11525,11520,-9,,-0.21734375,1.80078125,-0.000005625
25,-2.95E-06,-508,11257,11647,-897,,-0.079375,1.75890625,-0.000560625
26,-2.95E-06,-1033,11009,11392,-512,,-0.16140625,1.72015625,-0.00032
27,-2.95E-06,-897,11519,11777,-897,,-0.14015625,1.79984375,-0.000560625
28,-2.94E-06,-1278,11259,11264,-256,,-0.1996875,1.75921875,-0.00016
29,-2.94E-06,-1154,11007,11648,-127,,-0.1803125,1.71984375,-0.000079375
30,-2.94E-06,-896,11141,12416,-2,,-0.14,1.74078125,-0.00000125
31,-2.94E-06,-256,11519,11769,-643,,-0.04,1.79984375,-0.000401875
32,-2.94E-06,-1276,11391,11648,-767,,-0.199375,1.77984375,-0.000479375
33,-2.93E-06,-1289,11392,11775,-385,,-0.20140625,1.78,-0.000240625
34,-2.93E-06,-768,11518,11904,-385,,-0.12,1.7996875,-0.000240625
35,-2.93E-06,-645,11775,11775,1,,-0.10078125,1.83984375,0.000000625
36,-2.93E-06,-894,11383,11648,-258,,-0.1396875,1.77859375,-0.00016125
37,-2.93E-06,-380,11010,12032,-518,,-0.059375,1.7203125,-0.00032375
38,-2.92E-06,-643,11521,11774,-895,,-0.10046875,1.80015625,-0.000559375
39,-2.92E-06,-642,11392,11520,-511,,-0.1003125,1.78,-0.000319375
40,-2.92E-06,-896,11136,11646,-641,,-0.14,1.74,-0.000400625
41,-2.92E-06,-513,11264,11392,-259,,-0.08015625,1.76,-0.000161875
42,-2.92E-06,-895,11137,11267,-1160,,-0.13984375,1.74015625,-0.000725
43,-2.91E-06,-897,11520,11648,-890,,-0.14015625,1.8,-0.00055625
44,-2.91E-06,-768,11263,11391,-636,,-0.12,1.75984375,-0.0003975
45,-2.91E-06,-1024,11520,11521,-255,,-0.16,1.8,-0.000159375
46,-2.91E-06,-897,11264,11645,-256,,-0.14015625,1.76,-0.00016
47,-2.91E-06,-897,11516,11778,-383,,-0.14015625,1.799375,-0.000239375
48,-2.90E-06,-637,11518,11262,-640,,-0.09953125,1.7996875,-0.0004
49,-2.90E-06,-644,11011,11392,-1024,,-0.100625,1.72046875,-0.00064
50,-2.90E-06,-1038,11519,11392,-503,,-0.1621875,1.79984375,-0.000314375
51,-2.90E-06,-1401,10751,11520,-131,,-0.21890625,1.67984375,-0.000081875
52,-2.90E-06,-762,11267,11521,-1153,,-0.1190625,1.76046875,-0.000720625
53,-2.89E-06,-895,11653,11775,-514,,-0.13984375,1.82078125,-0.00032125
54,-2.89E-06,-517,11009,11521,-640,,-0.08078125,1.72015625,-0.0004
55,-2.89E-06,-635,11398,11393,-256,,-0.09921875,1.7809375,-0.00016
56,-2.89E-06,-1278,11521,11778,-383,,-0.1996875,1.80015625,-0.000239375
57,-2.89E-06,-1155,11517,11646,-130,,-0.18046875,1.79953125,-0.00008125
58,-2.88E-06,-641,11261,11393,-642,,-0.10015625,1.75953125,-0.00040125
59,-2.88E-06,-892,11008,11904,-640,,-0.139375,1.72,-0.0004
60,-2.88E-06,-903,11132,11904,-639,,-0.14109375,1.739375,-0.000399375
61,-2.88E-06,-770,11392,11774,-381,,-0.1203125,1.78,-0.000238125
62,-2.88E-06,-893,11135,11521,-255,,-0.13953125,1.73984375,-0.000159375
63,-2.87E-06,-509,11139,11647,-393,,-0.07953125,1.74046875,-0.000245625
64,-2.87E-06,-778,11393,11261,-1028,,-0.1215625,1.78015625,-0.0006425
